entity	title	definition	example_technologies
TX01	Propulsion Systems		
TX01.1	Chemical Space Propulsion	Chemical propulsion includes systems that operate through chemical reactions that heat and expand a propellant (or use a fluid dynamic expansion, as in a cold gas) to provide thrust.	
TX01.1.1	Integrated Systems and Ancillary Technologies	This area covers systems and technologies that provide additional launch vehicle and in-space propulsion functions other than primary ascent or propulsion. These systems include both mechanical and propulsive systems.	For launch vehicles: Thrust vector control (TVC), main propulsion systems, reaction control systems (RCS), roll control systems (RoCS), separation motors, ullage settling motors, abort propulsion systems, propellant storage and transfer, nanocomposites, green propellants. For in-space propulsion: CubeSat propulsion, propellant management devices (PMDs), pressure regulation mechanisms, propellant thermal control systems, propellant vapor control systems, long-duration propellant-compatible materials, high-performance main engines, low-impulse attitude-control systems, propellant slosh control, deep-throttling precision lander engines
TX01.1.2	Earth Storable Propellants	Earth storable propellants remain stable throughout a range of Earth terrestrial pressures and temperatures and can be stored in a closed vessel for long periods.	Kerosene, hydrazine, monomethyl hydrazine, hydrogen peroxide, nitrogen tetroxide mixed oxides of nitrogen, green propellants (e.g., LMP-103S, AF-315E, etc.), water, ionic liquids, ammonium dinitramide (ADN)-based propellants, Hydroxyl ammonium nitrate (HAN)-based propellants
TX01.1.3	Cryogenic Propulsion	Cryogenic propulsion systems and subsystems operate with propellants that are liquefied gases at low temperatures.	Liquid oxygen (LO2), methane (CH4) pressure-fed main engine LO2, CH4 pump-fed main engine LO2, liquid hydrogen (LH2) reaction and attitude control engine, LOX/RP, LH2/LOX based engine
TX01.1.4	Solids	This area covers propulsion systems that operate with solid propellants that are premixed oxidizers and fuels.	Polybutadiene Acrylic Acid Acrylonitrile Prepolymer (PBAN), Hydroxyl Terminated Poly Butadiene (HTPB)
TX01.1.5	Hybrids	Hybrid propulsion systems and subsystems operate with propellants that use a hybrid of solid fuel and liquid oxidizer.	Acrylonitrile butadiene styrene thermoplastic, paraffin-based fuels
TX01.1.6	Gels	Gelled and metallized fuels are a class of thixotropic (shear-thinning) fuels that improve the performance of rocket and air-breathing systems.	Gelled oxygen (O2)/hydrogen (H2), gelled MMH/IRFNA propellants, nanogelled propellants
TX01.1.7	Cold Gas	Cold gas propulsion systems use the stored pressure of inert gasses to increase thrust.	Cold gas systems for small satellites, upper stages, and human space exploration
TX01.1.8	Warm Gas	Warm gas propulsion systems and subsystems use the energy of a heated gas to create thrust or increase the pressure in the system.	Pressurization for flight systems
TX01.1.9	Rocket-Based Pressure Gain Combustion	Pressure gain combustion (PGC) encompasses a family of physical processes and configurations that increase total pressure during the combustion process in a fixed-volume combustor. Unlike airbreathing PGC configurations, rocket-based PGC configurations require propellant to be onboard for in-space propulsion operation.	Pulse Detonation Rocket Engines (PDRE); Wave Rotors Rocket Engines (WRRE); Rotating Detonation Rocket Engines (RDRE)
TX01.2	Electric Space Propulsion	Electric propulsion converts electric energy to interact with and accelerate a reaction mass to generate thrust.	
TX01.2.1	Integrated Systems and Ancillary Technologies	This area covers technology areas that are strongly coupled to but not part of electric in-space propulsion, such that focused development in these related areas will allow significant improvements in performance for some in-space propulsion technology areas.	Engine health monitoring, materials and manufacturing, heat rejection systems for in-space propulsion
TX01.2.2	Electrostatic Propulsion	This area covers electric propulsion systems that use electrostatic fields to ionize and accelerate a propellant.	Ion engines, hall thrusters, electrospray propulsion
TX01.2.3	Electromagnetic Propulsion	This area covers electric propulsion that interacts with a reaction mass using electromagnetic fields.	Pulsed inductive thruster, magnetoplasmadynamic (MPD) thruster, electromagnetic launch, e.g. double-sided linear induction motor (DSLIM)
TX01.2.4	Electrothermal Propulsion	This area covers electric propulsion that heats the propellant before it expands through a nozzle.	Resistojets, arcjets
TX01.3	Aero Propulsion	Aero propulsion systems are designed to operate in Earth's atmosphere.	
TX01.3.1	Integrated Systems and Ancillary Technologies	This area covers integrated systems and ancillary technologies relevant to enabling propulsion systems for atmospheric flight.	Engine health monitoring, materials and manufacturing, emissions control, noise management
TX01.3.2	Turbine-Based Combined Cycle	A turbine-based combined cycle is a combination propulsion system that consists of a turbine engine and ram or dual-mode scramjet.	Dual mode scramjet
TX01.3.3	Rocket-Based Combined Cycle	A combined-cycle propulsion system generally consists of an ejector-ramjet or rocket mode for liftoff, followed by ramjet, scramjet, and rocket modes for acceleration to orbital velocity.	Ejector ramjet
TX01.3.4	Airbreathing Pressure Gain Combustion	Pressure gain combustion (PGC) encompasses a family of physical processes and configurations that increase total pressure during the combustion process in a fixed-volume combustor.	Pulse detonation engine, pulsejets, wave rotors, pulse detonation engines (PDEs), and rotating detonation engines (RDEs); each of these combustors uses gas dynamic waves to confine the combustion process (all but the pulsejet also pre-compress the fuel/air mixture) to achieve an approximation to constant volume combustion
TX01.3.5	Turbine-Based Jet Engines	This area covers Brayton cycle-based airbreathing propulsion systems, which are the baseline of the commercial aviation industry. This area includes adaptation of conventional jet engines as fly-back booster engines designed to withstand the launch environment imposed by a conventional vertical rocket launch.	Turbine jet engine
